Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
2017-01-02 00:00:00,28.5,85,24.5,1.44,1.26,146,162,1.4,0.1635
2019-11-06 11:00:00,36.6,58,23,3.58,5.2,216,218,8.5,0.2677
2019-11-06 12:00:00,37.4,64,26.2,4.05,5.89,220,220,8.7,0.2452
2019-11-06 13:00:00,35.8,78,29.5,2.55,3.89,228,228,8.7,0.2117
2019-11-06 14:00:00,35.1,87,31.6,1.78,2.83,218,222,5.4,0.1783
2019-11-06 15:00:00,34.8,91,32.5,2.86,4.72,216,216,5.8,0.1448
2019-11-06 16:00:00,33.9,95,32.8,2.87,3.89,209,209,5.8,0.1114
2019-11-06 17:00:00,33.5,100,33.4,2.06,3.88,209,215,5.6,0.078
2019-11-06 18:00:00,33.3,96,32.4,1.3,2.52,293,263,3.9,0.0702
2019-11-06 19:00:00,33,97,32.2,1.77,3.38,313,304,3.4,0.0881
2019-11-06 20:00:00,33.1,96,32.2,2.08,4,305,307,3.6,0.1061
2019-11-06 21:00:00,32.8,97,32,3.22,5.63,324,327,5.3,0.124
2019-11-06 22:00:00,32.3,95,31,3.49,6.62,333,335,6.7,0.1419
2019-11-06 23:00:00,31.4,94,29.9,3.41,6.48,328,333,6.8,0.1598
2019-11-07 00:00:00,31,93,29.1,3.54,6.5,331,337,6.4,0.1778
2019-11-07 01:00:00,30.3,87,26.8,3.45,6.32,338,342,6.5,0.1957
2019-11-07 02:00:00,29.5,83,24.9,3.4,6.07,336,340,6.4,0.2136
2019-11-07 03:00:00,29.1,79,23.4,3.36,6.04,330,336,6.1,0.2315
2019-11-07 04:00:00,28.7,76,22.1,2.69,4.92,312,322,5.9,0.2495
2019-11-07 05:00:00,28.6,75,21.7,2.52,4.61,304,311,4.9,0.2621
2019-11-07 06:00:00,28.5,73,21,2.91,5.33,297,304,5.3,0.2694
2019-11-07 07:00:00,27,73,19.4,3.14,5.83,301,309,5.5,0.2766
2019-11-07 08:00:00,28.9,67,19.4,3.09,4.96,299,304,6.3,0.2839
2019-11-07 09:00:00,30.4,59,17.7,4.06,5.97,308,310,9,0.2912
2019-11-07 10:00:00,32.1,53,16.7,3.88,5.52,305,305,9.2,0.2985
2019-11-07 11:00:00,32.8,50,16.1,4.1,5.74,304,305,9.4,0.3057
2019-11-07 12:00:00,33.3,47,15.2,4.08,5.66,301,302,9.4,0.325
2019-11-07 13:00:00,33.2,45,14.3,4.1,5.8,304,306,9.3,0.3562
2019-11-07 14:00:00,31.9,49,14.9,4.63,6.85,303,304,9.7,0.3875
2019-11-07 15:00:00,31,52,15.4,4.35,6.63,293,293,9.8,0.4188
2019-11-07 16:00:00,28.5,67,19.1,3.1,5.88,285,288,8.9,0.45
2019-11-07 17:00:00,26.1,74,18.9,2.71,5.97,274,284,5.8,0.4812
2019-11-07 18:00:00,26,75,19.3,3.7,7.17,270,278,5.7,0.5076
2019-11-07 19:00:00,26.7,80,21.3,4.03,7.13,277,285,7.7,0.5291
2019-11-07 20:00:00,27,79,21.4,4.39,7.6,282,286,8.5,0.5506
2019-11-07 21:00:00,26.2,83,21.7,4.18,7.53,281,287,8.5,0.572
2019-11-07 22:00:00,25.4,86,21.9,4.26,7.75,279,287,8.1,0.5935
2019-11-07 23:00:00,24.9,88,21.9,4.49,8.29,282,288,8.5,0.615
2019-11-08 00:00:00,24.7,89,21.9,4.55,8.41,289,295,8.8,0.6365
2019-11-08 01:00:00,24.6,87,21.3,4.52,8.3,295,301,8.8,0.658
2019-11-08 02:00:00,24.3,87,20.9,4.52,8.24,295,303,8.8,0.6794
2019-11-08 03:00:00,23.8,85,19.8,4.3,7.91,295,302,8.6,0.7009
2019-11-08 04:00:00,23.1,83,18.8,4.03,7.63,293,304,8.1,0.7224
2019-11-08 05:00:00,22.9,86,19.2,3.76,7.25,299,309,7.5,0.6973
2019-11-08 06:00:00,24,87,20.6,4.32,8.08,318,324,6.8,0.6256
2019-11-08 07:00:00,23.5,88,20.4,4.03,7.4,314,322,8.2,0.554
2019-11-08 08:00:00,26.2,80,20.9,3.96,6.39,317,320,7.8,0.4823
2019-11-08 09:00:00,28.7,67,19.3,4.2,6.14,322,323,9.8,0.4107
2019-11-08 10:00:00,30.4,60,18.1,4.03,5.66,314,315,9.4,0.339
2019-11-08 11:00:00,31.7,54,16.8,4.44,6.22,306,307,10,0.2674
2019-11-08 12:00:00,32.7,49,15.4,4.44,6.11,301,302,10.5,0.2155
2019-11-08 13:00:00,32.9,45,13.7,4.31,6.02,292,291,10,0.1834
2019-11-08 14:00:00,31.8,52,16,4,5.75,283,283,9.6,0.1512
2019-11-08 15:00:00,30.3,52,14.8,3.61,5.62,275,275,8.6,0.1191
2019-11-08 16:00:00,27.4,63,16.3,2.5,5.3,270,271,7.3,0.087
2019-11-08 17:00:00,26,67,16.7,2.66,5.77,250,261,4.1,0.0548
2019-11-08 18:00:00,25.3,72,17.7,2.39,5.92,237,248,5.1,0.0568
2019-11-08 19:00:00,26,71,17.8,2.76,5.51,226,241,4.9,0.093
2019-11-08 20:00:00,25.1,72,17.4,2.92,5.98,218,232,4.9,0.1291
2019-11-08 21:00:00,25.1,71,16.9,2.83,5.8,212,225,5,0.1652
2019-11-08 22:00:00,24.9,71,16.8,2.95,5.96,204,215,4.7,0.2014
2019-11-08 23:00:00,25.2,70,16.8,3.45,6.89,197,204,5.9,0.2375
2019-11-09 00:00:00,26.2,67,16.6,3.77,7.33,202,206,6.8,0.2736
2019-11-09 01:00:00,26.7,67,17.3,3.62,6.99,208,214,7,0.3098
2019-11-09 02:00:00,27,68,17.9,3.72,7.09,216,220,7,0.3459
2019-11-09 03:00:00,27.1,70,18.6,3.72,7.04,216,219,7,0.382
2019-11-09 04:00:00,27.3,70,18.9,3.92,7.25,218,219,7.6,0.4182
2019-11-09 05:00:00,27.6,70,18.9,4.1,7.44,214,216,7.9,0.4655
2019-11-09 06:00:00,27.9,68,18.6,4.61,8.18,210,213,8.1,0.5239
2019-11-09 07:00:00,27.8,66,17.8,4.6,8.21,214,214,9.1,0.5823
2019-11-09 08:00:00,28.6,66,18.7,4.12,8.13,209,212,9.1,0.6408
2019-11-09 09:00:00,29.3,65,19.1,5.06,8.03,210,211,9.9,0.6992
2019-11-09 10:00:00,29.9,66,19.8,5.49,8.74,213,213,11.2,0.7577
2019-11-09 11:00:00,31.4,64,20.6,5.51,8.42,209,210,11.8,0.8161
2019-11-09 12:00:00,34.8,58,21.4,5.69,8.35,211,212,12.2,0.8142
2019-11-09 13:00:00,36.7,53,21.3,5.49,8.27,213,215,12,0.7519
2019-11-09 14:00:00,37.4,53,21.7,5.02,7.92,215,217,11.4,0.6896
2019-11-09 15:00:00,37.3,56,23.1,3.92,6.95,218,220,10.1,0.6273
2019-11-09 16:00:00,34.9,63,23.5,3.61,7.26,214,218,7.9,0.565
2019-11-09 17:00:00,32.4,70,23.9,3.58,7.65,203,209,6.8,0.5027
2019-11-09 18:00:00,33.6,68,24.3,4.07,8.01,205,209,6.6,0.4711
2019-11-09 19:00:00,33.6,68,24.3,4.17,8.13,210,214,7.9,0.4702
